# GTOC4 solution, J2000 heliocentric ecliptic frame
# launch MJD 58128.000000, |v_inf| 3999.999 m/s, tau 1200.000 d
# J = 0, K = m_f = 1350.916203 kg, sequence: 2007DC
# MJD x[km] y[km] z[km] vx[km/s] vy[km/s] vz[km/s] m[kg] Tx[N] Ty[N] Tz[N] body
58128.0000000000 -49116417.620958 138669238.154841 -2075.289867 -32.550619406822 -9.956703735137 0.321635707167 1500.000000 -0.134519960823 0.003418185249 0.010848785635 EARTH
58129.0000000000 -51921345.326574 137787476.571704 25739.915489 -32.376664715114 -10.453688011640 0.322218160360 1499.603534 -0.134138030922 0.008208584933 0.012829956889 -
58130.0000000000 -54710830.498523 136862987.217107 53606.072459 -32.193180192177 -10.945728902071 0.322815217066 1499.207069 -0.133553888936 0.013039323085 0.014776156592 -
58131.0000000000 -57484056.349116 135896208.504862 81524.377354 -32.000319937164 -11.432565927397 0.323425374758 1498.810603 -0.132767221502 0.017878486758 0.016680066124 -
58132.0000000000 -60240219.802076 134887600.952978 109495.881526 -31.798247176272 -11.913947968767 0.324046780282 1498.414137 -0.131781781112 0.022693867629 0.018535116376 -
58133.0000000000 -62978532.273127 133837646.355511 137521.462885 -31.587134073708 -12.389633712793 0.324677271799 1498.017672 -0.130605055000 0.027455011671 0.020335730685 -
58134.0000000000 -65698220.432391 132746846.922226 165601.801646 -31.367161499755 -12.859391951209 0.325314434668 1497.621206 -0.129247871922 0.032133618683 0.022077548641 -
58135.0000000000 -68398526.944799 131615724.394618 193737.361457 -31.138518754428 -13.323001828093 0.325955670200 1497.224740 -0.127723512520 0.036705407783 0.023757470173 -
58136.0000000000 -71078711.183559 130444819.146550 221928.376577 -30.901403220361 -13.780252948355 0.326598266893 1496.828275 -0.126047484411 0.041148494354 0.025373866201 -
58137.0000000000 -73738049.912317 129234689.272879 250174.845726 -30.656019985685 -14.230945547241 0.327239483773 1496.431809 -0.124236129186 0.045446187655 0.026926348295 -
58138.0000000000 -76375837.930618 127985909.671864 278476.532566 -30.402581372045 -14.674890464540 0.327876620354 1496.035343 -0.122306275276 0.049585449096 0.028415810141 -
58139.0000000000 -78991388.677191 126699071.127459 306832.972323 -30.141306430749 -15.111909172898 0.328507088905 1495.638878 -0.120274615615 0.053556817379 0.029844331972 -
58140.0000000000 -81584034.787736 125374779.390496 335243.484406 -29.872420393906 -15.541833774967 0.329128481089 1495.242412 -0.118157163406 0.057354204741 0.031215059415 -
58141.0000000000 -84153128.603636 124013654.261167 363707.190481 -29.596154087798 -15.964506976460 0.329738627488 1494.845946 -0.115968101264 0.060976127917 0.032531697059 -
58142.0000000000 -86698042.626945 122616328.678449 392223.036416 -29.312743276178 -16.379781952074 0.330335627723 1494.449481 -0.113720551318 0.064422611028 0.033798866792 -
58143.0000000000 -89218169.920491 121183447.814936 420789.817719 -29.022428047198 -16.787522354610 0.330917901136 1494.053015 -0.111425162230 0.067697413006 0.035021329134 -
58144.0000000000 -91712924.451548 119715668.177974 449406.207397 -28.725452120463 -17.187602160051 0.331484192310 1493.656549 -0.109090958272 0.070805424230 0.036204346742 -
58145.0000000000 -94181741.377927 118213656.719177 478070.785202 -28.422062207496 -17.579905628551 0.332033597449 1493.260084 -0.106725186899 0.073752595132 0.037353570012 -
58146.0000000000 -96624077.278699 116678089.948595 506782.068859 -28.112507370172 -17.964327235977 0.332565584005 1492.863618 -0.104332517883 0.076547039465 0.038474361091 -
58147.0000000000 -99039410.327868 115109653.058965 535538.545292 -27.797038341854 -18.340771509133 0.333079971054 1492.467152 -0.101915629887 0.079197617491 0.039571982113 -
58148.0000000000 -101427240.411321 113509039.062019 564338.700627 -27.475906893618 -18.709152911763 0.333576920424 1492.070687 -0.099475827868 0.081712751177 0.040652010590 -
58149.0000000000 -103787089.191113 111876947.932962 593181.050454 -27.149365249350 -19.069395769493 0.334056951755 1491.674221 -0.097012587535 0.084101171053 0.041719909963 -
58150.0000000000 -106118500.118717 110214085.764536 622064.170316 -26.817665489392 -19.421434123491 0.334520932626 1491.277755 -0.094523285819 0.086372306645 0.042780522236 -
58151.0000000000 -108421038.396768 108521163.935851 650986.724072 -26.481058955020 -19.765211535110 0.334970039189 1490.881290 -0.092004139303 0.088534674050 0.043838907855 -
58152.0000000000 -110694290.892468 106798898.295135 679947.490955 -26.139795725177 -20.100680959360 0.335405765413 1490.484824 -0.089449739752 0.090596675184 0.044899738350 -
58153.0000000000 -112937866.005440 105048008.356418 708945.391912 -25.794124085396 -20.427804549333 0.335829897082 1490.088358 -0.086853519076 0.092565765084 0.045967873113 -
58154.0000000000 -115151393.491715 103269216.511934 737979.515134 -25.444290043791 -20.746553488057 0.336244519228 1489.691893 -0.084207399516 0.094449024054 0.047047802520 -
58155.0000000000 -117334524.245930 101463247.261321 767049.140841 -25.090536847736 -21.056907768230 0.336651991269 1489.295427 -0.081502071280 0.096252554532 0.048144139032 -
58156.0000000000 -119486930.043395 99630826.459092 796153.765141 -24.733104538274 -21.358855989884 0.337054950653 1488.898961 -0.078726908384 0.097981369616 0.049261801678 -
58157.0000000000 -121608303.244399 97772680.579974 825293.124677 -24.372229521779 -21.652395149401 0.337456327250 1488.502496 -0.075869683536 0.099639704611 0.050405559070 -
58158.0000000000 -123698356.461759 95889536.003837 854467.221371 -24.008144147518 -21.937530397184 0.337859331293 1488.106030 -0.072916572368 0.101230334540 0.051580934879 -
58159.0000000000 -125756822.192866 93982118.320369 883676.348397 -23.641076308092 -22.214274823511 0.338267493950 1487.709564 -0.069851708994 0.102754813269 0.052793816880 -
58160.0000000000 -127783452.417066 92051151.653268 912921.118688 -23.271249036708 -22.482649220904 0.338684685297 1487.313099 -0.066656270636 0.104211492968 0.054054660469 -
58161.0000000000 -129778018.156921 90097358.000354 942202.505546 -22.898880073784 -22.742681953660 0.339115376612 1486.916633 -0.063307376712 0.105598271633 0.055373107931 -
58162.0000000000 -131740309.000228 88121456.592127 971521.892426 -22.524181391745 -22.994408661649 0.339564590328 1486.520167 -0.059773473101 0.106906815810 0.056772041067 -
58163.0000000000 -133670132.570322 86124163.261614 1000881.153678 -22.147358473221 -23.237872295292 0.340038666814 1486.123702 -0.056006081615 0.108123426561 0.058289308204 -
58164.0000000000 -135567313.914201 84106189.813504 1030282.805918 -21.768609130229 -23.473123097570 0.340546132440 1485.727236 -0.032233044439 0.067837996181 0.037299222446 -
58165.0000000000 -137431645.270530 82068139.395372 1059673.253840 -21.386975895990 -23.702626175476 0.339779503642 1485.480963 -0.024990234730 0.053436562241 0.029629422863 -
58166.0000000000 -139262927.675304 80010571.172154 1088975.936079 -21.003619988280 -23.924934168136 0.338514814349 1485.287093 -0.025406898264 0.053120093426 0.029464244319 -
58167.0000000000 -141061039.981186 77934139.518439 1118166.755819 -20.619181531553 -24.139290505738 0.337190416953 1485.093725 -0.025891450189 0.052774582874 0.029269798830 -
58168.0000000000 -142825897.044378 75839528.502847 1147240.564128 -20.233853815837 -24.345764374614 0.335806536282 1484.900873 -0.026374021101 0.052434120451 0.029079802719 -
58169.0000000000 -144557430.014965 73727416.099675 1176192.315405 -19.847820713896 -24.544427608433 0.334365339269 1484.708507 -0.026831645739 0.052068170083 0.028893879763 -
58170.0000000000 -146255585.638630 71598473.811193 1205017.149430 -19.461259354281 -24.735358137699 0.332868949720 1484.516694 -0.027293982010 0.051717460921 0.028712022871 -
58171.0000000000 -147920325.804429 69453366.333223 1233710.388466 -19.074343144388 -24.918635538395 0.331319467751 1484.325374 -0.027732463037 0.051344081045 0.028533994956 -
58172.0000000000 -149551627.075781 67292751.228173 1262267.534560 -18.687238358248 -25.094345310821 0.329718954524 1484.134607 -0.028166407330 0.050973912971 0.028359759181 -
